,date,truth_o_meter,statement,tags,url
35,"March 16, 2022",mostly-true, Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin. ,"['Gas Prices', 'Foreign Policy', 'Ukraine', 'Russia', 'Joe Biden']",https://www.politifact.com/factchecks/2022/mar/16/joe-biden/joe-biden-blame-putin-high-gasoline-prices/
36,"March 10, 2022",mostly-true," U.S. imports 1% of its oil from Russia while Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years. ","['Energy', 'Facebook Fact-checks', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/yes-oil-companies-are-reporting-record-breaking-pr/
37,"March 9, 2022",mostly-true," The oil industry has 9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year. ","['National', 'Energy', 'Gas Prices', 'Foreign Policy', 'Russia', 'Joe Biden']",https://www.politifact.com/factchecks/2022/mar/09/joe-biden/fact-checking-bidens-claim-there-are-9000-unused-o/
63,"April 20, 2022",half-true, Joe Biden s spending has sent prices skyrocketing. ,"['Ohio', 'Corrections and Updates', 'Economy', 'Food', 'Gas Prices', 'Stimulus', 'Coronavirus', 'Ukraine', 'Jane Timken']",https://www.politifact.com/factchecks/2022/apr/20/jane-timken/bidens-american-rescue-plan-fueled-inflation-so-di/
74,"March 28, 2022",half-true, The United Nations sent out an email instructing staff not to use the words invasion or war’ when referring to Ukraine. ,"['National', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/28/facebook-posts/claim-un-told-staff-not-use-war-invasion-describe-/
78,"March 16, 2022",half-true, Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine. ,"['Foreign Policy', 'Sports', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/16/facebook-posts/ukrainian-boxing-star-auctioned-olympic-gold-medal/
83,"March 4, 2022",half-true, Joe Biden s sanctions on Russia are riddled with loopholes and don t even start for 30 days. They have carve outs for the energy and financial sectors. ,"['Ohio', 'Energy', 'Foreign Policy', 'Trade', 'Ad Watch', 'Ukraine', 'Russia', 'Mike Gibbons']",https://www.politifact.com/factchecks/2022/mar/04/mike-gibbons/fact-checking-whether-bidens-russia-sanctions-over/
86,"February 28, 2022",half-true," The Keystone XL pipeline would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia. ","['Energy', 'Trade', 'Ad Watch', 'Russia', 'Jake LaTurner']",https://www.politifact.com/factchecks/2022/feb/28/jake-laturner/keystone-wouldnt-simply-offset-oil-us-imports-russ/
87,"February 25, 2022",half-true," Photos show Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger. ","['Religion', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/photos-ukrainians-praying-phase-war-danger-are-act/
98,"March 29, 2022",barely-true," The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’ ","['National', 'Space', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/space-foundation-didnt-revoke-honors-russian-cosmo/
112,"March 15, 2022",barely-true," While Ukrainians bled and died, Congressman Budd excused their killer. ","['Foreign Policy', 'North Carolina', 'Ukraine', 'Russia', 'Pat McCrory']",https://www.politifact.com/factchecks/2022/mar/15/pat-mccrory/mccrory-misrepresents-budd-comments-russia/
113,"March 10, 2022",barely-true," Donald Trump s appeasement of Putin wasn t just a personal act of treason, it s the Republican Party s official position. ","['Legal Issues', 'Foreign Policy', 'Patriotism', 'Ad Watch', 'Ukraine', 'Russia', 'VoteVets']",https://www.politifact.com/factchecks/2022/mar/10/votevets/trump-acts-not-treason-and-gop-platform-reducing-u/
123,"April 22, 2022",false, America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government. ,"['Facebook Fact-checks', 'Ukraine', 'Facebook posts']",https://www.politifact.com/factchecks/2022/apr/22/facebook-posts/us-not-orchestrating-takeover-ukraine/
126,"April 20, 2022",false, Vladimir Putin ended the Rothschild s control over Russia nationalizing the Russian centralized bank. ,"['Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/putin-did-not-nationalize-russian-central-bank-and/
127,"April 20, 2022",false," After Russia invaded Ukraine, Google Maps opened all military and strategic facilities in Russia. ","['Technology', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/google-maps-did-not-change-blurring-settings-revea/
133,"April 18, 2022",false, Ukraine was responsible for the Kramatorsk train station bombing. ,"['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/
147,"March 22, 2022",pants-fire," The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had the makings of yet another false flag operation led the U.S. ","['Foreign Policy', 'Pundits', 'Facebook Fact-checks', 'PunditFact', 'Ukraine', 'Russia', 'Pearson Sharp']",https://www.politifact.com/factchecks/2022/mar/22/pearson-sharp/one-america-news-runs-conspiratorial-segment-claim/
149,"March 18, 2022",pants-fire," What is happening here is not so different from what we re seeing happening in Russia, where you have got state TV and controlled messaging across the board. ","['National', 'Pundits', 'Technology', 'PunditFact', 'Ukraine', 'Russia', 'Tulsi Gabbard']",https://www.politifact.com/factchecks/2022/mar/18/tulsi-gabbard/tulsi-gabbard-falsely-claims-us-not-so-different-r/
238,"March 7, 2022",barely-true," As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives. ","['Foreign Policy', 'Ad Watch', 'Ukraine', 'Russia', 'Evan McMullin']",https://www.politifact.com/factchecks/2022/mar/07/evan-mcmullin/evan-mcmullin-ad-portraying-gop-utah-sen-mike-lee-/
242,"March 3, 2022",barely-true, NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout. ,"['Nuclear', 'Facebook Fact-checks', 'Coronavirus', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/fema-added-covid-19-safety-measures-nuclear-explos/
243,"February 28, 2022",barely-true, We have doubled our (oil) imports from Russia in the last year. ,"['Energy', 'Foreign Policy', 'Pundits', 'PunditFact', 'Russia', 'Maria Bartiromo']",https://www.politifact.com/factchecks/2022/feb/28/maria-bartiromo/us-did-not-double-oil-imports-russia-last-year/
244,"February 28, 2022",barely-true," The United States buys 206,000 barrels of oil a day from Russia but shut down domestic oil production a year ago. ","['Energy', 'Facebook Fact-checks', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/feb/28/facebook-posts/no-us-did-not-end-its-domestic-oil-production-it-d/
245,"February 28, 2022",barely-true, NATO (under direction from the United States) is violating previous agreements and expanding eastward. ,"['History', 'Foreign Policy', 'Pundits', 'PunditFact', 'Ukraine', 'Russia', 'Candace Owens']",https://www.politifact.com/factchecks/2022/feb/28/candace-owens/fact-checking-claims-nato-us-broke-agreement-again/
275,"April 12, 2022",false, Poland palace that Biden visited is fake. ,"['Corrections and Updates', 'Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-bidens-trip-poland-wasnt-staged/
287,"April 7, 2022",false, Photo of injured Ukrainian woman was from 2018 Russia gas explosion. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Instagram posts']",https://www.politifact.com/factchecks/2022/apr/07/instagram-posts/iconic-photo-ukraine-war-not-russia-gas-explosion/
291,"March 3, 2022",pants-fire, The Russian army does not occupy Ukrainian territory. ,"['Foreign Policy', 'Military', 'Ukraine', 'Russia', 'Russian Embassy in Canada']",https://www.politifact.com/factchecks/2022/mar/03/russian-embassy-canada/russias-pants-fire-claim-it-not-occupying-ukrainia/
293,"March 1, 2022",pants-fire, Ukrainian fighter-ace known as the Ghost of Kyiv s real name is Samuyil Hyde. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/samuyil-hyde-internet-meme-not-ghost-kyiv-pilot/
294,"February 21, 2022",pants-fire, Says Joe Biden risks war with Russia because Vladimir Putin doesn’t believe in transgender rights. ,"['National', 'Ohio', 'Corrections and Updates', 'Foreign Policy', 'Military', 'Sexuality', 'Ukraine', 'Russia', 'J.D. Vance']",https://www.politifact.com/factchecks/2022/feb/21/jd-vance/jd-vance-says-transgender-rights-drives-looming-co/
295,"February 21, 2022",pants-fire, Russia has never attacked anyone throughout its history. ,"['History', 'Foreign Policy', 'Military', 'Ukraine', 'Russia', 'Dmitry Peskov']",https://www.politifact.com/factchecks/2022/feb/21/dmitry-peskov/russian-spokesmans-statement-ignores-centuries-rus/
422,"April 4, 2022",false," A video taken from a car driving through Bucha, Ukraine, shows a corpse moving his arm, and then in the rear view mirror the ‘corpse’ sits down. ","['National', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Russian Ministry of Defense']",https://www.politifact.com/factchecks/2022/apr/04/russian-ministry-defense/russia-pushes-false-crisis-actor-claims-about-vide/
562,"March 25, 2022",false, Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol. ,"['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/
566,"March 23, 2022",false, Video shows Russian soldiers using weapons that have been in a cupboard since Soviet times. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/23/facebook-posts/video-appears-show-kenyan-soldiers-not-russians/
569,"March 18, 2022",false, Putin Vows to ‘Crush’ Child Traffickers in Ukraine ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/there-no-evidence-putin-invaded-ukraine-fight-chil/
570,"March 17, 2022",false, A recent on-air protest can’t be real because there are no live on air television broadcasts in Russia. None. Ever. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-and-other-programs-are-broadcast-live-russian/
572,"March 17, 2022",false, Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are price gouging. ,"['National', 'Economy', 'Energy', 'Gas Prices', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/persistent-high-gas-prices-dont-prove-price-gougin/
574,"March 17, 2022",false, A West Virginia inspection sticker on an Uber proves the car was not in Ukraine. ,"['West Virginia', 'National', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-video-shot-car-was-filmed-ukraine-not-west-vi/
702,"March 14, 2022",false," Classified documents from Ukraine confirm without a shadow of a doubt that the Ukraine government was covertly preparing an offensive operation against Donbas, scheduled for March 2022. ","['National', 'Military', 'Ukraine', 'Russia', 'Tweets']",https://www.politifact.com/factchecks/2022/mar/14/tweets/no-document-doesnt-show-secret-ukrainian-military-/
703,"March 14, 2022",false, Vice President Kamala Harris laughs at the plight of Ukraine; at idea of America offering assistance ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Bloggers']",https://www.politifact.com/factchecks/2022/mar/14/blog-posting/kamala-harris-did-not-laugh-ukraine-or-idea-us-off/
706,"March 11, 2022",false, Joe Biden s cancellation of the Keystone pipeline dramatically increased Americans dependence on Russian oil. ,"['Energy', 'Trade', 'Ad Watch', 'Russia', 'Mike Pence']",https://www.politifact.com/factchecks/2022/mar/11/mike-pence/mike-pences-group-falsely-blames-bidens-nixing-key/
707,"March 10, 2022",false, China: U.S. has biological weapons labs in Ukraine. ,"['Foreign Policy', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Instagram posts']",https://www.politifact.com/factchecks/2022/mar/10/instagram-posts/china-repeats-false-claim-us-has-biolabs-ukraine/
708,"March 10, 2022",false," Two years ago we were drilling our own oil for $27 a barrel. Now, thanks to Joe Biden, we’re paying $105 a barrel to Russia. ","['National', 'Energy', 'Gas Prices', 'Facebook Fact-checks', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/social-media-post-drilling-and-cost-russian-oil-mi/
710,"March 9, 2022",false, Gas is high because they shut down production in the U.S. under the Biden administration. ,"['Corrections and Updates', 'Energy', 'Gas Prices', 'Facebook Fact-checks', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/oil-production-bidens-first-year-par-trump/
712,"March 7, 2022",false, Ukraine issued a press release about Joe Biden ,"['Foreign Policy', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/press-conference-was-held-2020-orchestrated-russia/
714,"March 7, 2022",false," The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country. ","['National', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/no-former-ukrainian-beauty-queen-has-not-joined-uk/
834,"March 4, 2022",false, Image shows Ukrainian President Volodymyr Zelensky has joined the front lines with his troops. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/ukrainian-president-not-frontline-military/
836,"March 2, 2022",false, Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts']",https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/
839,"February 28, 2022",false, A photo showing young children saluting troops was captured in Ukraine in 2022. ,"['Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Viral image']",https://www.politifact.com/factchecks/2022/feb/28/viral-image/photo-children-sending-ukrainian-troops-2016-not-2/
841,"February 28, 2022",false, Actor Steven Seagal spotted among Russian special forces in Ukraine ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Joe Rogan']",https://www.politifact.com/factchecks/2022/feb/28/joe-rogan/action-star-steven-seagal-friend-putin-not-soldier/
846,"February 25, 2022",false, Russia is targeting U.S. biological weapons labs in Ukraine invasion. ,"['Facebook Fact-checks', 'Ukraine', 'Russia', 'Tweets']",https://www.politifact.com/factchecks/2022/feb/25/tweets/there-are-no-us-run-biolabs-ukraine-contrary-socia/
847,"February 25, 2022",false, Ethnic Russians face genocide perpetrated the Kyiv regime. ,"['National', 'Human Rights', 'Crime', 'Foreign Policy', 'Military', 'Ukraine', 'Russia', 'Vladimir Putin']",https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/
979,"February 22, 2022",false, Ukraine was the No. 1 donor to Hillary Clinton when she was running for president. ,"['Georgia', 'National', 'Campaign Finance', 'Foreign Policy', 'Ukraine', 'Marjorie Taylor Greene']",https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/
8568,"March 5, 2014",half-true, The new Ukrainian government introduced a law abolishing the use of languages other than Ukrainian in official circumstances. ,"['Foreign Policy', 'PunditFact', 'Russia Today']",https://www.politifact.com/factchecks/2014/mar/05/russia-today/russia-backed-american-news-network-offers-its-ow/
