Column1;Unnamed: 0;date;label;claim;tags;url;summary;poems;alt
15;133;18/04/2022;false; Ukraine was responsible for the Kramatorsk train station bombing. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/;"There’s no credible evidence that Ukraine was behind the April 8 attack at the Kramatorsk train station. A video used to bolster this claim is fake — it did not come from the BBC.
The claim has largely been spread by pro-Kremlin accounts following reports of civilian casualties and contradict earlier Russian posts that initially took credit for the bombing.
The Tochka-U missile used in the attack, and the serial number on it, isn’t proof that it came from the Ukrainian army. Several news reports, legitimate photos and videos show that Russia has used these missile systems recently.
";"Russian government decided
To screw with ukranian population,
But to war on the modern world
You need some degree of media manipulation.

A Kramatorsk train station was bombed
There's still no conclusion by who,
But pro-Kremlin internet accounts took the chance
To make their version of the story true.
Legitimate info says otherwise.";
30;562;25/03/2022;false; Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/;"An Iron Cross visible on some of Zelensky’s military green T-shirts is not a Nazi symbol. It represents the official emblem of Ukraine’s armed forces and includes the country’s coat of arms in the center.
The Iron Cross is a commonly used, famous German military medal. It’s not a hate symbol on its own. It was turned into a Nazi symbol when the regime superimposed a swastika in the center.
";"Iron Cross is a symbol, 
a swastika a hateful one.
Zelensky wore an emblem,
in which you can rely upon.
the nazi symbol means death
but ukrainians just want to stop bloodshed";
0;1;11/03/2022;true;The US has made strides in reducing carbon emissions that other parts of the world have not.;['Climate Change', 'Environment'];https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/;"When it comes to greenhouse gas emissions, the United States has made progress, decreasing emissions 8.2% from 2010 to 2019. 
Among other  top emitters, Brazil made the most progress for that time period, with an emission decrease of 31.3%, but is now on the rise. 
But China and India saw major increases, of 25.4% and 36.6% respectively.";"Co2, our little “Frienemy”,
you and the other greenhouse gases
need to leave, desperately!

The US set an example for once,
decreasing their emissions 8.2%
Brazil follows their example, but are struggling with the maintenance,
while China and India counter the occident.";
;0;04/03/2022;pants-fire;The war in Ukraine is “scripted and staged.”;['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/evidence-russias-war-ukraine-plentiful-and-proves-/;News reports, testimonies of citizens-turned-fighters, and a swift global response all fly in the face of baseless claims that Russia’s war on Ukraine is “staged.”;"Open your eyes,
There’s no place like home.
Ukraine cries,
Russia lies,
Citizens wish to roam.
The inexperienced fighters blood spills like cherry wine,
“scripted and staged” scream hypocrisy,
We want Putin to resign
And give them a real democracy. ";
45;836;02/03/2022;false; Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/;"Four photos showing scenes of fire, billowing smoke and people engaged in a fight date back to 2014 anti-government protests in Ukraine.
";"Ukraine is indeed in a conflict
From which there is a tone of evidence.
They're getting attacked
Without much benevolence.

People have to ponder
where they get their information,
Because old 2014 photos of ukranian protests is nothing
But war prograpanda for the world population.";
26;293;01/03/2022;pants-fire; Ukrainian fighter-ace known as the Ghost of Kyiv s real name is Samuyil Hyde. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/samuyil-hyde-internet-meme-not-ghost-kyiv-pilot/;"Sam Hyde is a comedian whose name has been used as an online meme since 2015, linked to tragic events throughout the world.
There is no evidence that the mysterious “Ghost of Kyiv” pilot in Ukraine actually exists.
If the pilot does exist, it’s not Samuyil Hyde.
";"Ghost of Kyiv is not Sam Hyde,
funny or not he’s not the fighter-ace.
Memes about tragic events are worldwide,
his true existence has no trace.";
47;841;28/02/2022;false; Actor Steven Seagal spotted among Russian special forces in Ukraine ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Joe Rogan'];https://www.politifact.com/factchecks/2022/feb/28/joe-rogan/action-star-steven-seagal-friend-putin-not-soldier/;"Podcaster Joe Rogan posted a fake CNN story that said action star Steven Seagal was spotted among Russian special forces in Ukraine. He later deleted the post, he said, because it was a “parody.”
CNN confirmed that the post purporting to be from its Twitter account was fake.
Seagal does have a friendship with Russian President Vladimir Putin, who granted him citizenship in 2016, and Seagal was once banned from Ukraine as a “national security threat.”
";"Turns out Seagal is indeed a russian citizen
Who was banned from Ukraine as a security threat,
But saying Seagal was among russian special forces
Is not a safe bet.

Joe Rogan and CNN
Got into a big mess,
But this time it was easy to confirm the truth
With some quick fact checks.";
;0;25/02/2022;false;Ethnic Russians face “genocide perpetrated by the Kyiv regime.”;['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/;"Despite multiple claims of a Ukrainian genocide against ethnic Russians, there is no evidence to support it.
International bodies that include Russian representatives report that civilian deaths have plummeted since 2014.
Russia’s ambassador to the U.S. relied on misleading and outdated evidence to back the claim.";"No evidence, no case,
Claims are made to incriminate.
Russia’s Ambassador was mislead, 
Those reports weren’t going to succeed.
Since 2014 deaths decreased,
There’s no genocide,
Russia just lied.";
0;2;25/02/2022;false;Bill Gates hatches 'horribly stupid' plan to block out the sun;['Climate Change', 'Environment'];https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/claim-bill-gates-scheming-block-sun-wrong;"Harvard researchers proposed a small-scale experiment that would spray aerosols into the atmosphere to reflect some sunlight back into space, a technology aimed at minimizing global warming. The experiment would measure the risks and effectiveness of the technology.
The experiment is funded in part through Harvard’s Solar Geoengineering Research Program, and Bill Gates is among the donors to that program.
The claim first surfaced in 2021 and has been previously debunked.";"yeah is hot,
glaciers are no longer in stock,
Bill Gates a solution tried to find,
but block only works on intagram, bear this in mind.

Now, the true story,
Bill, you don´t deserver the glory!
Havard was the one, the original author
You only gave them money and they took the offer.";"yeah is hot,
glaciers are no longer in stock,
Bill Gates a solution tried to find,
but block only works on intagram, bear this in mind.

Now, hear this story,
Bill didn't deserve the glory!
Havard was the one, the original author
He only gave them money and they took the offer.

However,
None of this is true.
Just another claim, out of the debunk queue."
;0;22/02/2022;false;"Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.
";['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/;"Hillary Clinton’s 2016 presidential campaign did not report receiving any donations from the Ukrainian government or Ukrainian nationals. Those donations would have been illegal.
A spokesperson for Marjorie Taylor Greene cited a 2015 Wall Street Journal graphic that has been frequently misrepresented online. The chart shows donations to the Clinton Foundation between 1999 and 2014 by the nationality of the individuals who made them; it does not say anything about donations to the foundation by foreign governments. 
The Clinton Foundation said it has never received donations from Ukraine’s government.";"In 2016, Hillary ran for president,
No reports of donations from Ukraine were evident.
Those donations would’ve been illegal,
Truthful reports would’ve been a miracle.
Graphics misrepresented,
Can affect one’s reputation,
Clinton Foundation received individual donations
Never from Ukraine’s government,
That was an incident.";
;0;21/02/2022;pants-fire;"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""";['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/feb/21/jd-vance/jd-vance-says-transgender-rights-drives-looming-co/;"Ohio Senate candidate JD Vance said the State Department’s focus on transgender rights is inflaming the conflict with Russia in Ukraine.
Russia has placed as many as 150,000 troops near Ukraine’s borders.
Russia has said Ukraine’s ties to NATO are a key threat to Russia’s national security.";"Nato is a threat for Putin, 
almost as transgenders are for JD Vance.
150,000 troops near the borders?
it’s fair to assume one in charge has a disorder.
Transgender or cisgender,
doesn’t define an offender. 
Biden claims Ukraine’s safety,
Putin’s heart only knows obscurity.";
;0;21/02/2022;pants-fire;Russia has never attacked anyone throughout its history.;['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/feb/21/dmitry-peskov/russian-spokesmans-statement-ignores-centuries-rus/;"Historians cite upwards of a dozen examples dating back to the 1500s in which Russia or the Soviet Union attacked another country without being militarily attacked first. 
Russia may offer various justifications for why it attacked another country in these instances, but each of these examples involved militarily unprovoked actions by Russia or the Soviet Union. ";"Soviet Union or Russia,
the tale is old as time. 
Historians carry examples,
Russians justifications
But all we see is crime.
Justifications filled with temptations, 
military attacks cause obliterations.";
18;90;16/02/2022;barely-true; Map shows states where all of the children… are back to living mask-free, normal lives. ;['Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2022/feb/16/instagram-posts/absence-statewide-school-mask-mandates-does-not-me/;" Though the majority of states do not have statewide school mask mandates, individual school districts still have mandates. 
 The absence of state mask rules has not meant a full return to pre-pandemic “normal” at school in most places.
";"We all want the same,
to go back to normality,
but like this claim,
that's still not the reality.

The majority of states,
do not have statewide 
school mask mandates.
However, 
individual school districts abide
since they still have mandates.

If mask rules evaporated,
that doesn't mean
normality would be stated
in most schools scene.";
33;122;15/02/2022;false; The New York City Police Department arrested a 9-year-old because she didn’t have a vaccine card in the museum. ;['Facebook Fact-checks', 'New York', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2022/feb/15/instagram-posts/no-9-year-old-was-not-arrested-nyc-museum-over-vac/;" The 9-year-old was not arrested. She was escorted to the police station in a separate car from those who were arrested — a group which included her mother — and cared for by police officers until her mother was released. 
 The adults were arrested and charged with trespassing because they would not leave the museum after it closed.
";"Kids like to fool around
making jokes and pranks,
but they are not robbing banks
in a museum, goons ain't found.

This kid was escorted
to the police station,
there she was supported
and cared with attention.

She ended up there,
because mom was in a group
that police arrested fair.
The museum floor needs to be swoop
Time's over for photos and stare.

COVID-19 or card vaccine,
have no part in this.
Manipulation is no sin,
but trespassing is.";
44;141;14/02/2022;pants-fire; The second booster has eight strains of HIV. ;['Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2022/feb/14/facebook-posts/covid-19-vaccines-do-not-contain-hiv/;" The ingredients of COVID-19 vaccines are published and do not include HIV.
 The vaccine ingredients do not change between doses. Each shot in the mRNA COVID-19 vaccine series, including the booster, has the same ingredients. 
";"Every food has recipes,
precious holy grails,
Vaccines fight enemies,
who run off with their tails.

You don't change instructions,
just because the dose is new.
We already made the introductions,
why would HIV be in queue?";
36;126;11/02/2022;false; COVID spelled backward is divoc which means possession of the evil spirit in Hebrew. ;['National', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2022/feb/11/facebook-posts/covid-spelled-backward-divoc-which-means-possessio/;"“Divoc” is not a Hebrew word.
The closest existing word in the language is “dibbuk,” which means evil possession, but the two are not the same, linguistic experts said.
COVID-19 is an abbreviation of ""coronavirus disease 2019.” ""CO"" stands for ""corona,"" ""VI"" stands for ""virus"" and ""D"" stands for ""disease."" The number 19 reflects the year it was identified — 2019.
";"An evil meaning or not
COVID still takes lives
anyone couldn't us taught
how to reduce people's sacrifices.

divoc is not contained in Hebrew
being dibbuk the most similar word
they are diferent that´s the true
and contradict experts is an absurde.

2019 was the year of COVID discover
and COVID doesn´t mean only corona
it means virus and disease under is cover
and everyone wishes this all to be over.";
40;134;10/02/2022;false; Says remdesivir is responsible for killing patients hospitalized with COVID-19. ;['Drugs', 'Science', 'Facebook Fact-checks', 'Coronavirus', 'Nicole Sirotek'];https://www.politifact.com/factchecks/2022/feb/10/nicole-sirotek/no-hospitalized-covid-19-patients-werent-killed-re/;"An early study in 2020 showed that remdesivir used to treat COVID-19 resulted in little to no improvement. Later studies found the drug was effective, including one that found an 87% lower risk of hospitalization or death.
No studies have found that remdesivir was responsible for killing COVID-19 patients.
Medical experts explained that remdesivir is given to patients who are at the highest risk of death because of the severity of their disease.
";"Science is always progressing
Old facts can become today's fake information.
That's why the world can't stop doing
Scientific investigation.

Early studies deemed remdesivir useless
But it ain't used to kill people in hospitalization.
Turns out it kind of is
Going to die by COVID people's salvation.";
22;100;04/02/2022;barely-true; Ron DeSantis let millions of COVID-19 tests expire. ;['Public Health', 'Florida', 'Ad Watch', 'Coronavirus', 'Charlie Crist'];https://www.politifact.com/factchecks/2022/feb/04/charlie-crist/charlie-crist-overstates-claim-about-millions-expi/;"Crist overstated the number of expired tests, it was up to 1 million, not “millions.”
Crist’s statement leaves the impression that the tests were no longer usable. However, because the tests were stored safely, the U.S. Food and Drug Administration has allowed the tests to be used by March 2022.
DeSantis attributed their expiration to lack of demand and to pending approvals from the federal government. Before Florida could distribute the tests, the FDA had to sign off on their safety.
";"Crist tried to exagerate the facts
To mess with his opposition,
Telling people millions of tests
Were out of condition.

Those tests are not unusable
Just near their experation date.
FDA has to sign off their safety
So we can avoid the waste.";
79;268;04/02/2022;false; Facebook is spamming all climate articles misleading readers about the accuracy of climate models. ;['National', 'Climate Change', 'Watts Up With That'];https://www.politifact.com/factchecks/2022/feb/04/watts/checking-claim-facebook-oversells-accuracy-climate/;"Facebook points users to NASA and U.N. sources that have vetted models and found that they track surface temperature changes quite well.
The Watts Up With That blog post cites a 2016 chart to suggest that climate change models regularly exaggerate rising temperatures due to greenhouse gases.
Researchers have found many technical flaws in that 2016 chart, some tied to its focus on a slice of the atmosphere far from the Earth’s surface where temperatures are more difficult to measure.
";"The decade began 
and so, their work on the US land,
spreading througth the sky like bumblebees,
their toxic chemicals and other biologic agents polen,
in a gentle breeze.

But don't worry about the next showers, 
nothing is going to happen to the flowers,
just remember to wear sunscreen,
was all just a big lie,
our atmosphere is squeaky clean!";
128;408;28/01/2022;false; All these athletes are dropping dead on the field after receiving the COVID-19 vaccination. ;['National', 'Public Health', 'Wisconsin', 'Coronavirus', 'Ron Johnson'];https://www.politifact.com/factchecks/2022/jan/28/ron-johnson/johnson-wrong-claim-covid-vaccines-are-killing-ath/;"Backup evidence provided by Johnson’s office has previously been debunked.
In one case, his office cited two European soccer players who collapsed, but lived
Athletes are not dropping dead on the field after getting vaccines, according to sports doctors.
";"Dropping on the field
just like flies
are this claim facts 
full of lies.

European soccer players
collapse they did,
but lived through.
You can hold your prayers
Vaccination relation is forbid
and the belief in this claim too.";
131;417;25/01/2022;false; President Joe Biden gave Congress an exemption from vaccine mandate ;['Congress', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2022/jan/25/facebook-posts/biden-didnt-exempt-congress-vaccine-mandate-he-sim/;"President Biden’s executive order mandating COVID-19 vaccines for federal workers applies only to those in the executive branch of government.
Congress is in the legislative branch, one of three separate but equal branches.
“Another way to think about it is that members of Congress work directly for the people, not for President Biden,” a law expert told PolitiFact.
";"Like many things in life
Outside elements are causing strife
It only takes one good look
To see it has been mistook

Biden spoke to his staff
Not to congress legislation
But to the other half
It is simply the way of a nation";
27;110;21/01/2022;barely-true; Moderna COVID vaccine is no longer recommended due to heart inflammation. ;['Facebook Fact-checks', 'Coronavirus', 'Facebook posts'];https://www.politifact.com/factchecks/2022/jan/21/facebook-posts/headline-misleads-about-moderna-vaccine-recommenda/;" The Moderna COVID-19 vaccine has not been discredited. A new recommendation about the vaccine applies only to those under the age of 31 in one European country, Belgium.

";"People like to generalize
everything they hear,
Moderna vaccine is still advise,
let that be clear.

This new recommendation
to only Belgium applies,
If you are under 31
Moderna vaccine is not advise
due to heart inflammation.";
179;559;19/01/2022;false; Carlos Gimenez wants a national database to track you and discriminate against you. ;['Florida', 'Facebook Fact-checks', 'Ad Watch', 'Coronavirus', 'America First Political Committee'];https://www.politifact.com/factchecks/2022/jan/19/america-first-political-committee/attack-calls-gop-house-member-socialist-wrong-bill/;"The bill would give federal money to state and local governments to improve data sharing they already do. It would not create a national vaccination database.
";"Gimenez just wants to improve the current system,
don't just come here and diss him.
Rest assured, you are already tracked.
So it wouldn't be this databased that got you hacked.";
28;115;19/01/2022;barely-true; Mask mandates on children lead to learning loss that harms early childhood development. ;['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Scott Fitzgerald'];https://www.politifact.com/factchecks/2022/jan/19/scott-fitzgerald/lawmakers-claim-mask-mandates-harm-early-childhood/;"Public health officials pointed out the article cited as support was “not a study but an opinion paper.”
According to the U.S. Centers for Disease Control and Prevention, limited available data indicates “no clear evidence that masking impairs emotional or language development in children.”
";"Yes, children are sick of masks, as we all are,
but it doesn't mean they learn better without them.
Maybe next time before you cause such mayhem,
check if any study supports what you stated so far.";"COVID hit everyone by surprise,
And we masked up from sunset to sunrise.
Everywhere children would turn,
they could never see mouths.

Parents were worried their development would be stunted,
But there's no evidence such a thing has happened...
Only biased opinion papers on the matter. "
29;117;14/01/2022;barely-true; Says Pfizer CEO Albert Bourla said: Two doses of the vaccine offers very limited protection, if any. ;['Facebook Fact-checks', 'Coronavirus', 'Bloggers'];https://www.politifact.com/factchecks/2022/jan/14/blog-posting/claim-about-pfizer-ceos-description-vaccine-leaves/;"Pfizer CEO Albert Bourla was speaking specifically about the omicron variant of COVID-19.
Bourla said that two vaccine doses offer very limited protection, if any, against the omicron variant. He said that three doses offer reasonable protection against hospitalization and deaths.
";"Two vaccines are better than one.
Do your job and vaccinate yourself,
Bourla is right so get it done.
Three doses help fight the variant,
Prevent hospitalization and deaths. ";
1;4;12/01/2022;true; You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die. ;['Facebook Fact-checks', 'Coronavirus', 'Jen Psaki'];https://www.politifact.com/factchecks/2022/jan/12/jen-psaki/data-suggests-unvaccinated-are-20-times-more-likel/;"October data from the Centers for Disease Control and Prevention suggests unvaccinated people are 20 times more likely to die of COVID-19 than those who are vaccinated and boosted.
Researchers in Texas reached the same conclusion looking at September data.
CDC data from November also indicated that unvaccinated people were about 17 times more likely to be hospitalized due to COVID-19 than those who are vaccinated.
Data from the omicron variant-fueled surge in December and January is preliminary and incomplete but early reports from New York City and Seattle suggest a continued and significant gap in the experiences between vaccinated and unvaccinated who become infected.
";"Covid doesn't choose,
friend or foe,
it makes you loose,
from head to toe.

Vaccinated not yet?
If covid you get,
17 times more likely a hospital you'll met,
and 20 times closer you are to death.";
15;81;10/12/2021;half-true; The United States had 589 coal-fired plants 10 years ago, and we re down to 504. … We are the only nation that has reduced our reliance (on) coal energy. ;['West Virginia', 'Environment', 'Energy', 'Joe Manchin'];https://www.politifact.com/factchecks/2021/dec/10/joe-manchin/how-far-has-us-cut-its-reliance-coal-compared-othe/;" Manchin is broadly right to note that the U.S. has decreased its reliance on coal for generating electricity over the past decade, although he incorrectly labeled the units of measurement that went along with his figures.
 He also has a point that the U.S. has led the world in the number of retirements of coal-fired assets. However, other countries have also made significant cuts in coal-fired power over the same period.
";"Though it's certain the downfall of coal,
Manchin's numbers are way out of touch.
The point made reached his goal,
but the measurement units coherence, not as much. 

As it wouldn't be enough,
this gentleman's veracity was undermined,
by saying the United States
are alone in the race to close the mines.";
10;46;30/11/2021;mostly-true; Within two years, there were two 500-year (storm) events in Wisconsin. ;['Environment', 'Climate Change', 'Weather', 'Wisconsin', 'Tammy Baldwin'];https://www.politifact.com/factchecks/2021/nov/30/tammy-baldwin/wisconsin-has-seen-more-two-500-year-storm-events-/;"Wisconsin’s northern most counties were pummeled by storms that rose to the level of 500-year events in 2016 and 2018
But those storms weren’t the only events to rise to that level within the same period of time.
";"They say:
""You should always respect the elders""
and the two 500-years storms didn´t come to play,
they made sure they would appear on the papers.

However, they weren´t the only ones,
so don’t let them steal the spotlight ,
other""oldy-but-goldy"" 500-year level events,
were everything but a delight.";
64;212;10/11/2021;half-true; The Biden administration inherited gains of 50,000 jobs a month. We re now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That s now down 75%. ;['Economy', 'Jobs', 'Public Health', 'Coronavirus', 'Ron Klain'];https://www.politifact.com/factchecks/2021/nov/10/ron-klain/ron-klain-exaggerates-improvements-employment-coro/;" The Biden administration can trumpet improvements in both employment and the coronavirus pandemic, but Klain’s numbers are off. 
 The average monthly job gains under Biden are almost twice as big as they were late in the Trump administration, but not 10 times bigger, as Klain suggested. 
 The rate of coronavirus deaths has fallen by 61%, not 75%, on Biden’s watch.
";"Improvements were made,
Employment up a grade,
Pandemic numbers in a faze,
Biden administration deserves a praise.

But,
Not all violets are blue,
Klain's numbers are not true.
Biden's numbers might have grew
but Trump actually did something too.

The gains are only twice as big.
You can't compare a log to a twig,
So there's a lot to do
before ten times becomes true.

Although rates have fall,
they are not such a big haul.
Sixty-one is the reality
Not the Seventy-Five plea.";
419;1284;08/11/2021;false; Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated ;['Facebook Fact-checks', 'Coronavirus', 'Bloggers'];https://www.politifact.com/factchecks/2021/nov/08/blog-posting/repeatedly-debunked-idea-shedding-covid-19-vaccine/;" People vaccinated against COVID-19 cannot shed spike proteins to harm anyone. 
 Claims about COVID-19 vaccine shedding began spreading in April and have been debunked many times. 
 Pfizer never confirmed that COVID-19 vaccine shedding is possible. 

";"There's no information source
On which you can blindly depend.
Getting Pfizer info on false conspiracies blogs
is certainly not to recommend.

Vaccine shedding can't occur on mRNA vaccines
Which are the ones used for COVID on the USA nation.
Also ""America’s Frontline Doctors""
Is not a trustful organization.";
65;217;19/10/2021;half-true; COVID-19 surges among most vaxxed communities, says Harvard study. ;['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'YouTube videos'];https://www.politifact.com/factchecks/2021/oct/19/youtube-videos/harvard-study-found-vaccinations-alone-arent-enoug/;"A study led by a Harvard researcher found high rates of infection in communities with high rates of vaccination.
It concluded that prevention measures such as handwashing, safe distancing and testing should be employed along with vaccinations to fight the epidemic.
";"If COVID-19 knocks on your door,
vaccines will open it wide.
But once it comes inside,
With it they'll wipe the floor.

Even if you are vaccinated,
you can get infected.
Handwashing shouldn't be neglected
and safe distancing calculated.";
124;396;15/10/2021;barely-true; The media is pretty quiet about Florida s decline in COVID cases. No mask mandates or vaccine mandates. ;['Public Health', 'Florida', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/oct/15/instagram-posts/media-reported-weeks-drop-florida-covid-19-cases-w/;"News media have reported for weeks on the recent decline in COVID-19 cases in Florida.
Florida does have measures that restrict mask mandates in schools and limit requirements to show proof of vaccination. But the decline in cases occurred only after Florida led the nation, and Florida still ranks among states with the highest case rate.
";"Joey Saldino decided to spill
Some misinformation
In an attempt to screw with the COVID efforts
Of an entire nation.

COVID cases in Florida have been declining
And the media have reported about it,
But that's due to Florida's COVID measures shining
And it's still worse than the rest of the country.";
537;1715;28/09/2021;false; Breaking news — US Supreme Court has canceled universal vaccination in the United States. ;['National', 'Public Health', 'Supreme Court', 'Facebook Fact-checks', 'Coronavirus', 'Instagram posts'];https://www.politifact.com/factchecks/2021/sep/28/instagram-posts/us-supreme-court-hasnt-ruled-against-covid-19-vacc/;"The United States Supreme Court has not issued any ruling related to the COVID-19 vaccines or universal vaccinations, and there is currently no case on its docket involving challenges to vaccine mandates.
";"Breaking news,
False truths.
The Supreme Court has no issues,
those untruths need some reviews.
Universal vaccination is a yes,
There isn’t any ruling to the virus to cause stress.";
169;544;27/08/2021;barely-true; It would cost $20 billion to end homelessness in the U.S. and halting global warming would cost $300 billion. ;['Climate Change', 'Homeless', 'Housing', 'Facebook Fact-checks', 'Facebook posts'];https://www.politifact.com/factchecks/2021/aug/27/facebook-posts/no-consensus-cost-ending-homelessness-us-or-haltin/;"It would likely cost significantly more than $20 billion to house America’s homeless population, after factoring in the expansion of the federal housing voucher program and affordable housing development.
Since models to predict the cost of fighting climate change rely on many different assumptions, estimates vary widely. However, $300 billion is on the very low end of the spectrum. ​
";"For 20 billion dolars 
we can end with homelessness in tha USA.
As for global warming problems,
would take 300 bilions to make them go away.


Now, lets use our common sense
to house America’s homeless population
surely it would take more than 20 billion, 
significaly more, not just a few cents.

As for the cost of fighting climate change 
it rely on many different assumptions,
but the 300 billion are in the lower price range.";
